features                                                                             train    test
(0,)                                                                               0.56493 0.57080
(2, 3, 5, 6, 7, 8, 9, 10)                                                          0.81124 0.77013
(2, 3, 11, 12, 13, 14, 15, 16)                                                     0.98080 0.77013
(2, 3, 17, 18, 19, 20, 21, 22)                                                     0.96911 0.76307
(2, 4, 5, 6, 7, 8, 9, 10)                                                          0.87920 0.77133
(2, 4, 11, 12, 13, 14, 15, 16)                                                     0.98853 0.77560
(2, 4, 17, 18, 19, 20, 21, 22)                                                     0.97858 0.76667
(2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                     0.98036 0.80827
(2, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                     0.97440 0.80360
(2, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                                0.98222 0.78227
(3, 4, 5, 6, 7, 8, 9, 10)                                                          0.86720 0.76760
(3, 4, 11, 12, 13, 14, 15, 16)                                                     0.98880 0.77200
(3, 4, 17, 18, 19, 20, 21, 22)                                                     0.97511 0.76427
(3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                     0.97996 0.80333
(3, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                     0.97320 0.80213
(3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                                0.98164 0.77947
(4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                     0.98836 0.81320
(4, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                     0.98529 0.81227
(4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                                0.98800 0.78333
(5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                0.98178 0.80893
(0, 1, 2, 3)                                                                       0.60600 0.57680
(0, 1, 2, 4)                                                                       0.75071 0.63520
(0, 1, 2, 5, 6, 7, 8, 9, 10)                                                       0.88507 0.76187
(0, 1, 2, 11, 12, 13, 14, 15, 16)                                                  0.99076 0.77107
(0, 1, 2, 17, 18, 19, 20, 21, 22)                                                  0.98196 0.76960
(0, 1, 3, 4)                                                                       0.72360 0.61587
(0, 1, 3, 5, 6, 7, 8, 9, 10)                                                       0.88036 0.76280
(0, 1, 3, 11, 12, 13, 14, 15, 16)                                                  0.99036 0.77160
(0, 1, 3, 17, 18, 19, 20, 21, 22)                                                  0.98044 0.77000
(0, 1, 4, 5, 6, 7, 8, 9, 10)                                                       0.94031 0.76573
(0, 1, 4, 11, 12, 13, 14, 15, 16)                                                  0.99782 0.77880
(0, 1, 4, 17, 18, 19, 20, 21, 22)                                                  0.99467 0.77733
(0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                  0.98916 0.81160
(0, 1, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                  0.98596 0.81093
(0, 1, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                             0.98862 0.78427
(0, 2, 3, 4)                                                                       0.74787 0.63947
(0, 2, 3, 5, 6, 7, 8, 9, 10)                                                       0.88667 0.76533
(0, 2, 3, 11, 12, 13, 14, 15, 16)                                                  0.99018 0.77053
(0, 2, 3, 17, 18, 19, 20, 21, 22)                                                  0.98093 0.76947
(0, 2, 4, 5, 6, 7, 8, 9, 10)                                                       0.94698 0.76693
(0, 2, 4, 11, 12, 13, 14, 15, 16)                                                  0.99791 0.77893
