features                                                                             train    test
(0,)                                                                               0.53107 0.53773
(1, 4, 11, 12, 13, 16)                                                             0.57120 0.56533
(1, 4, 17, 18, 19, 20, 21, 22)                                                     0.50791 0.51027
(1, 6, 11, 12, 13, 16)                                                             0.69231 0.69600
(1, 6, 17, 18, 19, 20, 21, 22)                                                     0.64044 0.64160
(1, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                        0.50711 0.49280
(2, 3, 4)                                                                          0.45293 0.45240
(2, 3, 6)                                                                          0.64764 0.64987
(2, 3, 11, 12, 13, 16)                                                             0.48862 0.48773
(2, 3, 17, 18, 19, 20, 21, 22)                                                     0.50400 0.50187
(2, 4, 6)                                                                          0.67964 0.68253
(2, 4, 11, 12, 13, 16)                                                             0.47280 0.47387
(2, 4, 17, 18, 19, 20, 21, 22)                                                     0.49449 0.49707
(2, 6, 11, 12, 13, 16)                                                             0.66818 0.66827
(2, 6, 17, 18, 19, 20, 21, 22)                                                     0.60569 0.60533
(2, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                        0.49787 0.49787
(3, 4, 6)                                                                          0.64342 0.64533
(3, 4, 11, 12, 13, 16)                                                             0.54622 0.53280
(3, 4, 17, 18, 19, 20, 21, 22)                                                     0.48360 0.48520
(3, 6, 11, 12, 13, 16)                                                             0.70516 0.70507
(3, 6, 17, 18, 19, 20, 21, 22)                                                     0.66160 0.66627
(3, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                        0.49360 0.48227
(4, 6, 11, 12, 13, 16)                                                             0.70142 0.70067
(4, 6, 17, 18, 19, 20, 21, 22)                                                     0.64911 0.65293
(4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                        0.47582 0.46587
(6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                        0.63542 0.62907
(0, 1, 2, 3)                                                                       0.54240 0.54667
(0, 1, 2, 4)                                                                       0.54787 0.55347
(0, 1, 2, 6)                                                                       0.62520 0.62813
(0, 1, 2, 11, 12, 13, 16)                                                          0.53680 0.54427
(0, 1, 2, 17, 18, 19, 20, 21, 22)                                                  0.54240 0.54267
(0, 1, 3, 4)                                                                       0.54871 0.55413
(0, 1, 3, 6)                                                                       0.64484 0.64400
(0, 1, 3, 11, 12, 13, 16)                                                          0.54600 0.54667
(0, 1, 3, 17, 18, 19, 20, 21, 22)                                                  0.54836 0.54480
(0, 1, 4, 6)                                                                       0.64400 0.64827
(0, 1, 4, 11, 12, 13, 16)                                                          0.54218 0.54800
(0, 1, 4, 17, 18, 19, 20, 21, 22)                                                  0.54849 0.54867
(0, 1, 6, 11, 12, 13, 16)                                                          0.65164 0.65200
(0, 1, 6, 17, 18, 19, 20, 21, 22)                                                  0.62964 0.62933
(0, 1, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.54342 0.54013
(0, 2, 3, 4)                                                                       0.54013 0.54867
(0, 2, 3, 6)                                                                       0.62862 0.63187
(0, 2, 3, 11, 12, 13, 16)                                                          0.53316 0.53827
(0, 2, 3, 17, 18, 19, 20, 21, 22)                                                  0.53631 0.53600
(0, 2, 4, 6)                                                                       0.63120 0.63613
(0, 2, 4, 11, 12, 13, 16)                                                          0.53489 0.54133
(0, 2, 4, 17, 18, 19, 20, 21, 22)                                                  0.53520 0.54120
(0, 2, 6, 11, 12, 13, 16)                                                          0.64196 0.63867
(0, 2, 6, 17, 18, 19, 20, 21, 22)                                                  0.61840 0.61667
(0, 2, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.53409 0.53533
(0, 3, 4, 6)                                                                       0.64191 0.64427
(0, 3, 4, 11, 12, 13, 16)                                                          0.53711 0.54027
(0, 3, 4, 17, 18, 19, 20, 21, 22)                                                  0.53818 0.53893
(0, 3, 6, 11, 12, 13, 16)                                                          0.65769 0.66013
(0, 3, 6, 17, 18, 19, 20, 21, 22)                                                  0.63280 0.63520
(0, 3, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.54164 0.53773
(0, 4, 6, 11, 12, 13, 16)                                                          0.65693 0.66133
(0, 4, 6, 17, 18, 19, 20, 21, 22)                                                  0.63436 0.63600
(0, 4, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.54142 0.54307
(0, 6, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                     0.62960 0.62853
(1, 2, 3, 4)                                                                       0.52151 0.51627
(1, 2, 3, 6)                                                                       0.65338 0.65587
